,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
200610    ,-0.81     ,0.78    ,-1.27    ,-0.58     ,1.06    ,-0.67    ,-0.95    ,-1.70    ,-1.17    ,-0.30    ,-0.23     ,0.85    ,-1.39    ,-1.60    ,-1.34    ,-1.36     ,1.59     ,2.64     ,2.79     ,1.35     ,2.64     ,1.60     ,2.50     ,4.55    ,-0.46     ,0.31     ,0.46     ,3.56     ,2.07    ,-1.77     ,1.13     ,0.41
200611    ,-4.28    ,-1.83    ,-5.47    ,-3.53    ,-1.25    ,-1.69     ,1.33    ,-3.25    ,-2.79     ,0.51     ,0.23    ,-1.07    ,-2.07    ,-1.88    ,-0.53    ,-0.10    ,-0.78    ,-3.40    ,-0.17    ,-1.34     ,2.28     ,0.52     ,1.01     ,0.36     ,1.26     ,0.13    ,-1.84     ,2.02     ,2.28    ,-0.64    ,-1.58    ,-0.11
200612     ,1.86    ,-1.11    ,-0.19    ,-2.53     ,0.32     ,0.68     ,1.43    ,-0.01     ,0.41     ,0.21     ,0.38     ,0.12    ,-0.30    ,-0.22     ,0.93     ,3.59     ,0.75    ,-0.29     ,3.30    ,-0.69     ,1.91     ,2.00     ,4.99     ,6.54    ,-0.21    ,-0.92     ,4.16     ,4.83     ,0.84    ,-0.01     ,1.00     ,1.07
200701     ,1.63     ,1.86     ,1.95     ,1.38     ,2.31     ,1.87    ,-0.39     ,1.61     ,1.81     ,1.03     ,1.08     ,1.88     ,2.42     ,0.91     ,1.14    ,-0.17    ,-0.78     ,3.36    ,-1.66     ,0.91     ,0.90     ,1.28    ,-0.19    ,-1.17     ,1.84    ,-1.10     ,1.90     ,2.76     ,1.80     ,4.03     ,1.55     ,0.79
200702     ,4.93     ,3.19     ,1.72    ,-1.42     ,3.38     ,4.64     ,3.84     ,2.86     ,2.87     ,3.67     ,4.40     ,3.58     ,4.31     ,3.74     ,4.42     ,4.04     ,2.04     ,2.73     ,1.20     ,2.77     ,9.12     ,4.37     ,4.76     ,4.79     ,2.86     ,3.39     ,3.75    ,-0.79     ,5.45     ,3.52     ,5.27     ,5.21
200703    ,-2.47    ,-2.76    ,-2.01    ,-3.43    ,-0.60    ,-0.95     ,0.35    ,-0.74    ,-0.62     ,0.18     ,0.53     ,0.37     ,1.12     ,0.97    ,-0.77     ,2.26    ,-1.48    ,-1.58    ,-2.63    ,-3.25     ,0.90     ,1.47    ,-1.06    ,-3.66    ,-1.93    ,-4.36    ,-0.10    ,-0.90    ,-0.20     ,2.48    ,-0.23    ,-1.44
200704    ,-4.87    ,-3.92    ,-7.11    ,-6.38    ,-3.11    ,-3.89    ,-0.33    ,-2.96    ,-2.84    ,-1.65    ,-0.81    ,-2.98    ,-1.95    ,-2.17    ,-1.99    ,-2.58    ,-2.71    ,-4.08     ,1.56    ,-3.35    ,-3.26    ,-0.46    ,-1.65    ,-2.84    ,-2.34    ,-3.75     ,0.84    ,-1.70    ,-2.54    ,-2.12     ,1.27    ,-1.29
200705    ,-1.10    ,-2.94    ,-4.50    ,-3.79    ,-3.61    ,-3.91    ,-2.41     ,1.45    ,-1.31    ,-3.26    ,-1.39    ,-0.74    ,-1.37    ,-3.19    ,-2.66    ,-2.54     ,3.04     ,6.27     ,0.02    ,-0.46     ,0.28    ,-1.59     ,2.17     ,0.60     ,0.03     ,3.44     ,1.98     ,3.66    ,-4.88    ,-0.44     ,0.86     ,0.11
200706     ,2.01     ,0.57     ,2.81     ,2.87     ,3.25     ,1.44     ,4.26     ,1.08     ,2.63     ,1.03     ,2.77     ,3.31     ,3.54     ,2.02     ,1.94     ,1.03    ,-0.12    ,-4.81     ,4.15    ,-1.19    ,-1.49     ,1.13     ,1.60     ,1.75    ,-1.19    ,-1.90    ,-1.97     ,2.34    ,-2.23    ,-1.33     ,1.60     ,1.19
200707     ,1.68     ,0.20     ,0.58    ,-1.93     ,3.01     ,0.22     ,0.83     ,0.22     ,1.45     ,1.51     ,2.08     ,1.13     ,0.20     ,1.16     ,1.49     ,3.30    ,-1.38     ,6.26    ,-0.08     ,0.64    ,-1.47    ,-1.95     ,1.21    ,-0.47    ,-5.75    ,-2.25     ,4.27     ,2.33    ,-1.78     ,0.71     ,0.13    ,-3.23
